Title,Author,Cover Art,Price
Youth Season Three (Comixology Originals) #1 (Youth (Comixology Originals)),Curt Pires,https://m.media-amazon.com/images/I/319SE-RyNjL.jpg,$0.00
Teenage Mutant Ninja Turtles: The Last Ronin—The Lost Years #1 (of 5),Kevin B. Eastman,https://m.media-amazon.com/images/I/51shHSNWPfL.jpg,$4.99
Saga #61,Brian K. Vaughan,https://m.media-amazon.com/images/I/41Q1oZKJ-HL.jpg,$3.19
Dudley Datson and the Forever Machine (Comixology Originals) #4,Scott Snyder,https://m.media-amazon.com/images/I/51cmt669NsL.jpg,$0.00
Ask For Mercy Season Four (Comixology Originals) #4: The Circle of Time (Ask For Mercy (Comixology Originals)),Richard Starkings,https://m.media-amazon.com/images/I/51Ves9RzA8L.jpg,$0.00
Darkwing Duck #1,Amanda Deibert,https://m.media-amazon.com/images/I/51dWJVvpuiL.jpg,$3.99
Batman - One Bad Day (2022-) #1: Catwoman,G. Willow Wilson,https://m.media-amazon.com/images/I/41S8Cm-cEzL.jpg,$7.99
Sins Of Sinister (2023) #1,Kieron Gillen,https://m.media-amazon.com/images/I/51hlErE5e3L.jpg,$5.99
Lazarus Planet (2023) #1: We Once Were Gods,Francis Manapul,https://m.media-amazon.com/images/I/51UMTegYV0L.jpg,$4.99
Dragon Age: The Missing #1,George Mann,https://m.media-amazon.com/images/I/513e2JfujJL.jpg,$3.99
"PPPPPP, Vol. 1: Mediocre Lucky",Mapollo 3,https://m.media-amazon.com/images/I/41QcLBQ+23L.jpg,$6.49
Sword of the Demon Hunter: Kijin Gentosho Vol. 1,Motoo Nakanishi,https://m.media-amazon.com/images/I/51ApNLez1tL.jpg,$9.99
Mob Psycho 100 Volume 10,ONE,https://m.media-amazon.com/images/I/510dmDepS8L.jpg,$6.99
Magic Order 4 #1 (The Magic Order),Mark Millar,https://m.media-amazon.com/images/I/51Pz1JEEUnL.jpg,$4.99
Murderworld: Wolverine (2023) #1 (Murderworld (2022-2023)),Jim Zub,https://m.media-amazon.com/images/I/51VuL8JPAVL.jpg,$3.99
Season of the Bruja Vol. 1,Aaron Duran,https://m.media-amazon.com/images/I/51zZ-VFVzdL.jpg,$13.99
Inferno Girl Red Book One #1,Mat Groom,https://m.media-amazon.com/images/I/51R8yP89--L.jpg,$5.99
Spectacle Vol. 5,Ro Salarian,https://m.media-amazon.com/images/I/51oFUD2eTML.jpg,$15.99
Gargoyles #2,Greg Weisman,https://m.media-amazon.com/images/I/51BAEea16fL.jpg,$3.99
Star Wars: Doctor Aphra (2020-) #28,Alyssa Wong,https://m.media-amazon.com/images/I/41q9Py3H1gL.jpg,$3.99
