Title,Author,Image,Price
Edgeworld (Comixology Originals) #6,Chuck Austen,https://m.media-amazon.com/images/I/51C+YEfU9JL.jpg,$0.00
Immortal Sergeant #1,Joe Kelly,https://m.media-amazon.com/images/I/51PvaEfENEL.jpg,$3.99
Lazarus Planet (2023) #1: Assault on Krypton,Nicole Maines,https://m.media-amazon.com/images/I/51A1wvAkwPL.jpg,$4.99
Wasp (2023) #1 (of 4),Al Ewing,https://m.media-amazon.com/images/I/51MeVmvdkrL.jpg,$3.99
Children of Palomar and Other Tales: A Love and Rockets Book (Love & Rockets Library),Gilbert Hernandez,https://m.media-amazon.com/images/I/51ivLPJNpdL.jpg,$17.99
Barnstormers (Comixology Originals) #4,Scott Snyder,https://m.media-amazon.com/images/I/418j86j0c2L.jpg,$0.00
Census (Comixology Originals) #5,Marc Bernardin,https://m.media-amazon.com/images/I/51EJb5EtXJL.jpg,$0.00
Retroverse (Comixology Originals) #2,Cullen Bunn,https://m.media-amazon.com/images/I/51XHqfsmcIL.jpg,$0.00
Archie's Laugh Comics (Archie Comics Presents),Archie Superstars,https://m.media-amazon.com/images/I/51+b-ihRWgL.jpg,$9.99
Dune: House Harkonnen #1,Brian Herbert,https://m.media-amazon.com/images/I/41Wr9hYmwdL.jpg,$4.99
Gargoyles #2,Greg Weisman,https://m.media-amazon.com/images/I/51BAEea16fL.jpg,$3.19
Batman - One Bad Day (2022-) #1: Bane,Joshua Williamson,https://m.media-amazon.com/images/I/51FeP487BDL.jpg,$7.99
Immortal X-Men (2022-) #10,Kieron Gillen,https://m.media-amazon.com/images/I/51wqCAbYvPL.jpg,$3.99
Maniac Of New York #1: Don't Call it a Comeback,Elliott Kalan,https://m.media-amazon.com/images/I/51h2URxJ8sL.jpg,$4.99
White Savior #1,Scott Burman,https://m.media-amazon.com/images/I/51UIT21DhPL.jpg,$3.99
Fables #157,Bill Willingham,https://m.media-amazon.com/images/I/51QPk5Xnb1L.jpg,$3.99
Star Wars: Bounty Hunters (2020-) #30,Ethan Sacks,https://m.media-amazon.com/images/I/51YaoVdTcJL.jpg,$3.99
Doomsday With My Dog Vol. 1,Yu Isihara,https://m.media-amazon.com/images/I/51pz5uiqvpL.jpg,$6.99
"BEASTARS, Vol. 22",Paru Itagaki,https://m.media-amazon.com/images/I/513cM8-sYtL.jpg,$7.99
Miss Kobayashi's Dragon Maid: Fafnir the Recluse Vol. 1,Coolkyousinnjya,https://m.media-amazon.com/images/I/51s9JIrdLaL.jpg,$9.99
The Chuckling Whatsit: (New Edition),Richard Sala,https://m.media-amazon.com/images/I/51+6QmYFhPL.jpg,$21.99
Public Domain Vol. 1,Chip Zdarsky,https://m.media-amazon.com/images/I/413RyoK3JeL.jpg,$16.14
Absolution Vol. 1,Peter Milligan,https://m.media-amazon.com/images/I/51ruojwyc5L.jpg,$9.49
Above Snakes Vol. 1,Sean Lewis,https://m.media-amazon.com/images/I/518mRsnhxlL.jpg,$12.34
Honey Lemon Soda Vol. 1,Mayu Murata,https://m.media-amazon.com/images/I/51GYG2wfX9L.jpg,$6.99
